EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes
1589386535.075296,1589386535.172566,0.0,1589386535.1795561,1589386535.278812,0.0
1589386535.407695,1589386535.503262,0.1,1589386535.51858,1589386535.618575,0.1
1589386535.958295,1589386536.057987,1.1,1589386536.0748181,1589386536.16768,1.1
1589386536.302499,1589386536.400214,0.1,1589386536.41108,1589386536.508299,0.1
1589386536.649756,1589386536.745825,0.0,1589386536.753201,1589386536.753821,0.0
1589386536.967468,1589386537.067148,1.0,1589386537.0786428,1589386537.1712792,0.1
1589386537.530001,1589386537.626157,1.0,1589386537.6374788,1589386537.738981,1.0
1589386537.864161,1589386537.969576,0.1,1589386537.9809642,1589386538.074968,0.0
1589386538.214238,1589386538.3191319,0.0,1589386538.326169,1589386538.42335,0.0
1589386538.559075,1589386538.561044,0.1,1589386538.567992,1589386538.662003,0.1
1589386539.030452,1589386539.121793,0.0,1589386539.128793,1589386539.133437,0.0
1589386539.3493178,1589386539.4513211,0.1,1589386539.462896,1589386539.558709,0.0
1589386539.700502,1589386539.7972639,0.1,1589386539.808408,1589386539.906558,0.0
1589386540.043477,1589386540.1347709,1.0,1589386540.150793,1589386540.2547789,1.0
1589386540.597857,1589386540.700165,0.0,1589386540.7072551,1589386540.80545,0.0
1589386540.937411,1589386541.035357,0.0,1589386541.043277,1589386541.146828,0.0
1589386541.269546,1589386541.370133,0.1,1589386541.3808692,1589386541.4751308,0.0
1589386541.618752,1589386541.713253,1.0,1589386541.723192,1589386541.825322,1.0
1589386542.172843,1589386542.2708962,0.0,1589386542.279532,1589386542.382453,0.0
1589386542.5195851,1589386542.6208,0.1,1589386542.6326091,1589386542.726133,0.1
1589386542.86273,1589386542.9643352,1.0,1589386542.975638,1589386543.070455,1.0
1589386543.226738,1589386543.228184,0.0,1589386543.231533,1589386543.331157,0.0
1589386543.6728451,1589386543.77597,1.1,1589386543.790897,1589386543.881065,1.1
1589386544.022123,1589386544.121972,0.0,1589386544.128908,1589386544.2274802,0.1
1589386544.360085,1589386544.4663491,0.0,1589386544.473344,1589386544.568037,0.0
1589386544.717689,1589386544.812758,0.0,1589386544.8204732,1589386544.9251971,0.0
1589386545.271026,1589386545.37051,1.1,1589386545.385577,1589386545.478244,1.1
1589386545.6268318,1589386545.722262,0.0,1589386545.729343,1589386545.729559,0.0
1589386545.9622662,1589386546.064708,1.1,1589386546.080683,1589386546.169771,1.1
1589386546.310582,1589386546.412142,0.0,1589386546.4201589,1589386546.517021,0.0
1589386546.973398,1589386547.072128,0.0,1589386547.076038,1589386547.07825,0.0
1589386547.30708,1589386547.4069839,1.0,1589386547.419946,1589386547.51535,1.0
1589386547.672865,1589386547.768151,1.0,1589386547.7806652,1589386547.8769941,1.0
1589386548.014431,1589386548.1117702,1.0,1589386548.122891,1589386548.2185652,1.0
1589386548.561881,1589386548.661472,1.0,1589386548.6730042,1589386548.766805,1.0
1589386548.900424,1589386549.001246,1.1,1589386549.016348,1589386549.107785,1.1
1589386549.245162,1589386549.350415,1.0,1589386549.361204,1589386549.453869,1.0
1589386549.59005,1589386549.6902971,0.0,1589386549.697299,1589386549.795454,0.1
1589386550.1404932,1589386550.240441,1.1,1589386550.255442,1589386550.345224,1.1
1589386550.485286,1589386550.587224,0.1,1589386550.5984619,1589386550.691127,0.1
1589386550.825957,1589386550.928223,1.1,1589386550.9423912,1589386551.031391,0.0
1589386551.203778,1589386551.288793,0.1,1589386551.3001149,1589386551.310017,0.1
1589386551.737539,1589386551.83587,0.0,1589386551.843423,1589386551.946075,0.0
1589386552.075608,1589386552.17233,0.1,1589386552.182455,1589386552.282912,0.1
1589386552.411548,1589386552.507644,0.0,1589386552.514904,1589386552.61818,0.1
1589386552.751422,1589386552.85305,1.0,1589386552.864387,1589386552.958681,1.0
1589386553.3033469,1589386553.400846,1.1,1589386553.4158762,1589386553.509008,1.1
1589386553.6465821,1589386553.747956,0.1,1589386553.758879,1589386553.85149,1.0
1589386553.984086,1589386553.986351,1.1,1589386553.995806,1589386554.086457,1.1
1589386554.2199528,1589386554.317517,1.1,1589386554.332816,1589386554.425565,1.1
1589386554.774824,1589386554.871992,0.0,1589386554.879603,1589386554.9835,0.0
1589386555.113549,1589386555.211582,0.1,1589386555.2229528,1589386555.317201,0.1
1589386555.452372,1589386555.551612,1.1,1589386555.566394,1589386555.659956,1.1
1589386555.8551161,1589386555.956921,1.1,1589386555.971228,1589386556.0592089,1.1
1589386556.409942,1589386556.506818,1.0,1589386556.518053,1589386556.617595,1.0
1589386556.747345,1589386556.749834,0.0,1589386556.7533581,1589386556.852545,0.0
1589386556.976937,1589386557.0735831,1.0,1589386557.0853062,1589386557.180511,1.0
1589386557.3148532,1589386557.415047,0.0,1589386557.4219918,1589386557.522727,1.1
1589386557.866399,1589386557.9656918,0.0,1589386557.972793,1589386558.077156,0.0
1589386558.206521,1589386558.304106,0.0,1589386558.311274,1589386558.4105878,0.0
1589386558.5425222,1589386558.645667,0.1,1589386558.656142,1589386558.748408,0.1
1589386559.3192132,1589386559.416123,0.1,1589386559.427317,1589386559.522753,0.1
1589386559.660956,1589386559.7628422,1.1,1589386559.776994,1589386559.8668082,1.0
1589386560.0045922,1589386560.1036081,0.1,1589386560.1157372,1589386560.212961,0.1
1589386560.348026,1589386560.449022,0.0,1589386560.455189,1589386560.5551,0.0
1589386560.8994088,1589386560.998111,1.1,1589386561.012749,1589386561.1038568,1.1
1589386561.241009,1589386561.3459918,0.0,1589386561.35279,1589386561.447472,0.1
1589386561.582817,1589386561.686534,0.0,1589386561.693423,1589386561.788117,0.0
1589386561.923991,1589386562.021545,0.0,1589386562.028655,1589386562.1301918,0.0
1589386562.4654331,1589386562.567245,1.0,1589386562.578681,1589386562.671617,1.0
1589386562.810802,1589386562.910025,0.0,1589386562.917561,1589386563.015077,0.0
1589386563.172859,1589386563.271133,0.1,1589386563.282069,1589386563.380799,0.1
1589386563.522364,1589386563.6248882,0.1,1589386563.6340292,1589386563.727412,0.1
1589386564.077358,1589386564.1758342,1.0,1589386564.187362,1589386564.284205,1.1
1589386564.419648,1589386564.51783,0.1,1589386564.5297039,1589386564.624214,0.0
1589386564.766706,1589386564.864424,1.0,1589386564.875927,1589386564.970796,1.0
1589386565.1003819,1589386565.1041229,0.0,1589386565.107469,1589386565.2038982,0.0
1589386565.538191,1589386565.636825,1.0,1589386565.64816,1589386565.742178,1.0
1589386565.8744152,1589386565.975672,0.0,1589386565.982628,1589386566.08208,0.0
1589386566.2161689,1589386566.316648,1.1,1589386566.331288,1589386566.421432,1.1
1589386566.562261,1589386566.665241,0.1,1589386566.676044,1589386566.76861,0.1
1589386567.115496,1589386567.215374,1.1,1589386567.229984,1589386567.322517,1.1
1589386567.459201,1589386567.558642,0.0,1589386567.565759,1589386567.6632051,0.0
1589386567.801733,1589386567.802437,0.1,1589386567.809296,1589386567.9047492,0.1
1589386568.0295,1589386568.128748,1.1,1589386568.143549,1589386568.238122,1.1
1589386568.5855029,1589386568.6874712,1.0,1589386568.698723,1589386568.789082,1.0
1589386568.925434,1589386569.027313,1.0,1589386569.0384278,1589386569.13149,1.0
1589386569.267184,1589386569.36657,1.1,1589386569.3816261,1589386569.472418,1.1
1589386569.613132,1589386569.713521,0.0,1589386569.720473,1589386569.81961,0.0
1589386570.1594229,1589386570.260382,1.1,1589386570.274854,1589386570.365942,1.1
1589386570.500515,1589386570.595383,0.0,1589386570.6026518,1589386570.606611,0.0
1589386570.818361,1589386570.920063,1.0,1589386570.931838,1589386571.024516,1.0
1589386571.165974,1589386571.2625868,0.0,1589386571.269423,1589386571.270733,0.0
1589386571.7185102,1589386571.818592,0.0,1589386571.825585,1589386571.92316,0.0
1589386572.0596511,1589386572.156217,0.1,1589386572.167734,1589386572.263365,0.1
1589386572.4016798,1589386572.500541,1.1,1589386572.515131,1589386572.608499,1.0
1589386572.757746,1589386572.857536,0.0,1589386572.864933,1589386572.963375,0.0
1589386573.357128,1589386573.459712,0.0,1589386573.466822,1589386573.567421,0.0
1589386573.719358,1589386573.81158,1.1,1589386573.8270772,1589386573.922817,1.0
1589386574.0659158,1589386574.161411,1.1,1589386574.1783931,1589386574.271138,1.1
1589386574.40722,1589386574.5091689,1.1,1589386574.5242062,1589386574.614941,1.1
1589386574.975293,1589386575.070294,1.0,1589386575.0817542,1589386575.179091,0.1
1589386575.403618,1589386575.405067,0.0,1589386575.409228,1589386575.511125,1.0
1589386575.7036521,1589386575.807041,0.1,1589386575.833547,1589386575.915566,0.1
1589386576.14654,1589386576.234981,0.0,1589386576.243184,1589386576.24882,0.0
1589386576.764189,1589386576.8658261,0.0,1589386576.872463,1589386576.968317,0.0
1589386577.106714,1589386577.203805,0.0,1589386577.211482,1589386577.316391,0.1
1589386577.4808252,1589386577.578275,0.0,1589386577.5849888,1589386577.587646,0.0
1589386577.818603,1589386577.9108539,0.0,1589386577.918964,1589386577.922475,0.0
1589386662.594558,1589386662.695329,1.0,1589386662.70681,1589386662.802169,1.0
1589386663.160613,1589386663.263653,1.0,1589386663.2748642,1589386663.366244,1.1
1589386663.50859,1589386663.6062038,0.1,1589386663.617839,1589386663.7142541,0.1
1589386664.054701,1589386664.1533692,0.0,1589386664.161681,1589386664.262454,0.0
1589386664.391449,1589386664.4951942,1.0,1589386664.5063329,1589386664.599345,0.0
1589386664.7363431,1589386664.829988,1.0,1589386664.841119,1589386664.841564,1.0
1589386665.063074,1589386665.159913,0.0,1589386665.1647282,1589386665.1662169,0.0
1589386665.625854,1589386665.724162,1.1,1589386665.739325,1589386665.829945,1.1
1589386665.983087,1589386666.079883,0.0,1589386666.087116,1589386666.089129,0.0
1589386666.300111,1589386666.39903,0.0,1589386666.406705,1589386666.5070028,0.0
1589386666.636819,1589386666.741039,0.1,1589386666.7520409,1589386666.843356,0.1
1589386667.185952,1589386667.2884889,0.0,1589386667.295413,1589386667.389502,0.0
1589386667.530123,1589386667.6288562,0.1,1589386667.640287,1589386667.738237,0.1
