EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes,# vote err,% vote err,transmission delay epr,transmission delay voting
1589386523.96612,1589386524.064368,0.0,1589386524.071821,1589386524.17234,0.0,0,0.0,0.09824800491333008,0.10051894187927246
1589386524.3040159,1589386524.40072,1.0,1589386524.4120371,1589386524.512403,1.0,0,0.0,0.09670400619506836,0.10036587715148926
1589386524.646833,1589386524.747259,0.0,1589386524.75441,1589386524.857506,0.0,0,0.0,0.10042595863342285,0.10309600830078125
1589386525.200771,1589386525.300964,1.1,1589386525.315389,1589386525.4054358,1.1,0,0.0,0.10019302368164062,0.09004688262939453
1589386525.561302,1589386525.649046,0.1,1589386525.6603289,1589386525.6656919,0.1,0,0.0,0.08774399757385254,0.005362987518310547
1589386525.8797178,1589386525.979617,0.1,1589386525.990916,1589386526.084748,0.1,0,0.0,0.0998992919921875,0.09383201599121094
1589386526.224832,1589386526.32225,1.1,1589386526.3376698,1589386526.43529,1.1,0,0.0,0.09741783142089844,0.09762024879455566
1589386526.777317,1589386526.877782,0.0,1589386526.884755,1589386526.9826639,0.0,0,0.0,0.10046505928039551,0.09790897369384766
1589386527.117172,1589386527.2209978,0.0,1589386527.228395,1589386527.322363,0.0,0,0.0,0.10382580757141113,0.09396791458129883
1589386527.46358,1589386527.555617,0.1,1589386527.566046,1589386527.5671942,0.0,1,0.5,0.09203720092773438,0.001148223876953125
1589386527.7789829,1589386527.880994,1.0,1589386527.892512,1589386527.987157,1.0,0,0.0,0.10201120376586914,0.09464502334594727
1589386528.3345358,1589386528.4363992,1.1,1589386528.4513931,1589386528.542572,0.1,1,0.5,0.10186338424682617,0.09117889404296875
1589386528.6839318,1589386528.781962,0.0,1589386528.7882361,1589386528.88753,0.0,0,0.0,0.09803009033203125,0.09929394721984863
1589386529.0165892,1589386529.120849,1.0,1589386529.13221,1589386529.2253351,1.0,0,0.0,0.10425972938537598,0.0931251049041748
1589386529.363041,1589386529.461175,0.1,1589386529.472943,1589386529.569275,0.1,0,0.0,0.09813404083251953,0.09633183479309082
1589386529.9108632,1589386530.012485,0.1,1589386530.025044,1589386530.1190798,0.0,1,0.5,0.10162186622619629,0.09403586387634277
1589386530.2568488,1589386530.353873,1.0,1589386530.3653572,1589386530.469256,1.0,0,0.0,0.09702420234680176,0.10389876365661621
1589386530.604311,1589386530.703273,0.1,1589386530.7147431,1589386530.815901,0.1,0,0.0,0.09896206855773926,0.10115790367126465
1589386530.943915,1589386530.944038,0.0,1589386530.948787,1589386531.047455,1.1,2,1.0,0.00012302398681640625,0.09866809844970703
1589386531.3773272,1589386531.4756532,0.0,1589386531.482989,1589386531.5857651,0.0,0,0.0,0.09832596778869629,0.10277605056762695
1589386531.7212648,1589386531.81796,1.1,1589386531.83374,1589386531.927773,1.1,0,0.0,0.0966951847076416,0.09403300285339355
1589386532.064647,1589386532.158344,0.0,1589386532.165439,1589386532.170815,0.0,0,0.0,0.09369707107543945,0.005376100540161133
1589386532.381352,1589386532.4798899,1.0,1589386532.491507,1589386532.589529,1.0,0,0.0,0.09853792190551758,0.0980219841003418
1589386532.929279,1589386533.025791,1.0,1589386533.036227,1589386533.13644,1.0,0,0.0,0.0965118408203125,0.10021305084228516
1589386533.26614,1589386533.36214,0.1,1589386533.373248,1589386533.472821,0.1,0,0.0,0.09599995613098145,0.09957289695739746
1589386533.604984,1589386533.703205,0.1,1589386533.7146611,1589386533.814813,0.1,0,0.0,0.0982210636138916,0.10015177726745605
1589386533.941003,1589386534.04011,0.0,1589386534.0449889,1589386534.1478348,0.0,0,0.0,0.09910702705383301,0.10284590721130371
1589386534.506154,1589386534.6065128,1.1,1589386534.621324,1589386534.71135,1.1,0,0.0,0.10035872459411621,0.0900259017944336
1589386534.842835,1589386534.843434,0.1,1589386534.850424,1589386534.945559,0.1,0,0.0,0.0005991458892822266,0.09513497352600098
1589386535.075296,1589386535.172566,0.0,1589386535.1795561,1589386535.278812,0.0,0,0.0,0.09727001190185547,0.09925580024719238
1589386535.407695,1589386535.503262,0.1,1589386535.51858,1589386535.618575,0.1,0,0.0,0.09556698799133301,0.09999513626098633
1589386535.958295,1589386536.057987,1.1,1589386536.0748181,1589386536.16768,1.1,0,0.0,0.09969186782836914,0.09286189079284668
1589386536.302499,1589386536.400214,0.1,1589386536.41108,1589386536.508299,0.1,0,0.0,0.09771490097045898,0.09721922874450684
1589386536.649756,1589386536.745825,0.0,1589386536.753201,1589386536.753821,0.0,0,0.0,0.0960690975189209,0.0006198883056640625
1589386536.967468,1589386537.067148,1.0,1589386537.0786428,1589386537.1712792,0.1,2,1.0,0.09967994689941406,0.0926363468170166
1589386537.530001,1589386537.626157,1.0,1589386537.6374788,1589386537.738981,1.0,0,0.0,0.09615612030029297,0.1015021800994873
1589386537.864161,1589386537.969576,0.1,1589386537.9809642,1589386538.074968,0.0,1,0.5,0.10541486740112305,0.09400391578674316
1589386538.214238,1589386538.3191319,0.0,1589386538.326169,1589386538.42335,0.0,0,0.0,0.10489392280578613,0.09718108177185059
1589386538.559075,1589386538.561044,0.1,1589386538.567992,1589386538.662003,0.1,0,0.0,0.001968860626220703,0.09401106834411621
1589386539.030452,1589386539.121793,0.0,1589386539.128793,1589386539.133437,0.0,0,0.0,0.09134101867675781,0.004643917083740234
1589386539.3493178,1589386539.4513211,0.1,1589386539.462896,1589386539.558709,0.0,1,0.5,0.10200333595275879,0.09581279754638672
1589386539.700502,1589386539.7972639,0.1,1589386539.808408,1589386539.906558,0.0,1,0.5,0.09676194190979004,0.09815001487731934
1589386540.043477,1589386540.1347709,1.0,1589386540.150793,1589386540.2547789,1.0,0,0.0,0.0912938117980957,0.10398578643798828
1589386540.597857,1589386540.700165,0.0,1589386540.7072551,1589386540.80545,0.0,0,0.0,0.10230803489685059,0.09819483757019043
1589386540.937411,1589386541.035357,0.0,1589386541.043277,1589386541.146828,0.0,0,0.0,0.0979459285736084,0.10355091094970703
1589386541.269546,1589386541.370133,0.1,1589386541.3808692,1589386541.4751308,0.0,1,0.5,0.1005868911743164,0.09426164627075195
1589386541.618752,1589386541.713253,1.0,1589386541.723192,1589386541.825322,1.0,0,0.0,0.09450101852416992,0.10212993621826172
1589386542.172843,1589386542.2708962,0.0,1589386542.279532,1589386542.382453,0.0,0,0.0,0.0980532169342041,0.1029210090637207
1589386542.5195851,1589386542.6208,0.1,1589386542.6326091,1589386542.726133,0.1,0,0.0,0.10121488571166992,0.09352397918701172
1589386542.86273,1589386542.9643352,1.0,1589386542.975638,1589386543.070455,1.0,0,0.0,0.10160517692565918,0.0948171615600586
1589386543.226738,1589386543.228184,0.0,1589386543.231533,1589386543.331157,0.0,0,0.0,0.0014460086822509766,0.0996239185333252
1589386543.6728451,1589386543.77597,1.1,1589386543.790897,1589386543.881065,1.1,0,0.0,0.10312485694885254,0.09016799926757812
1589386544.022123,1589386544.121972,0.0,1589386544.128908,1589386544.2274802,0.1,1,0.5,0.09984898567199707,0.0985722541809082
1589386544.360085,1589386544.4663491,0.0,1589386544.473344,1589386544.568037,0.0,0,0.0,0.10626411437988281,0.09469294548034668
1589386544.717689,1589386544.812758,0.0,1589386544.8204732,1589386544.9251971,0.0,0,0.0,0.09506893157958984,0.10472393035888672
1589386545.271026,1589386545.37051,1.1,1589386545.385577,1589386545.478244,1.1,0,0.0,0.09948420524597168,0.0926671028137207
1589386545.6268318,1589386545.722262,0.0,1589386545.729343,1589386545.729559,0.0,0,0.0,0.09543013572692871,0.00021600723266601562
1589386545.9622662,1589386546.064708,1.1,1589386546.080683,1589386546.169771,1.1,0,0.0,0.10244178771972656,0.08908796310424805
1589386546.310582,1589386546.412142,0.0,1589386546.4201589,1589386546.517021,0.0,0,0.0,0.10156011581420898,0.0968620777130127
1589386546.973398,1589386547.072128,0.0,1589386547.076038,1589386547.07825,0.0,0,0.0,0.09873008728027344,0.002212047576904297
1589386547.30708,1589386547.4069839,1.0,1589386547.419946,1589386547.51535,1.0,0,0.0,0.09990382194519043,0.09540414810180664
1589386547.672865,1589386547.768151,1.0,1589386547.7806652,1589386547.8769941,1.0,0,0.0,0.09528613090515137,0.0963289737701416
1589386548.014431,1589386548.1117702,1.0,1589386548.122891,1589386548.2185652,1.0,0,0.0,0.09733915328979492,0.09567427635192871
1589386548.561881,1589386548.661472,1.0,1589386548.6730042,1589386548.766805,1.0,0,0.0,0.09959101676940918,0.09380078315734863
1589386548.900424,1589386549.001246,1.1,1589386549.016348,1589386549.107785,1.1,0,0.0,0.10082197189331055,0.09143710136413574
1589386549.245162,1589386549.350415,1.0,1589386549.361204,1589386549.453869,1.0,0,0.0,0.10525298118591309,0.09266519546508789
1589386549.59005,1589386549.6902971,0.0,1589386549.697299,1589386549.795454,0.1,1,0.5,0.10024714469909668,0.09815502166748047
1589386550.1404932,1589386550.240441,1.1,1589386550.255442,1589386550.345224,1.1,0,0.0,0.09994792938232422,0.0897819995880127
1589386550.485286,1589386550.587224,0.1,1589386550.5984619,1589386550.691127,0.1,0,0.0,0.10193800926208496,0.09266519546508789
1589386550.825957,1589386550.928223,1.1,1589386550.9423912,1589386551.031391,0.0,2,1.0,0.10226583480834961,0.08899974822998047
1589386551.203778,1589386551.288793,0.1,1589386551.3001149,1589386551.310017,0.1,0,0.0,0.08501505851745605,0.009902238845825195
1589386551.737539,1589386551.83587,0.0,1589386551.843423,1589386551.946075,0.0,0,0.0,0.09833097457885742,0.10265207290649414
1589386552.075608,1589386552.17233,0.1,1589386552.182455,1589386552.282912,0.1,0,0.0,0.09672188758850098,0.10045695304870605
1589386552.411548,1589386552.507644,0.0,1589386552.514904,1589386552.61818,0.1,1,0.5,0.09609603881835938,0.10327601432800293
