# vote err,% vote err,transmission delay epr,transmission delay voting
0,0.0,0.10156011581420898,0.0968620777130127
0,0.0,0.09873008728027344,0.002212047576904297
0,0.0,0.09990382194519043,0.09540414810180664
0,0.0,0.09528613090515137,0.0963289737701416
0,0.0,0.09733915328979492,0.09567427635192871
0,0.0,0.09959101676940918,0.09380078315734863
0,0.0,0.10082197189331055,0.09143710136413574
0,0.0,0.10525298118591309,0.09266519546508789
1,0.5,0.10024714469909668,0.09815502166748047
0,0.0,0.09994792938232422,0.0897819995880127
0,0.0,0.10193800926208496,0.09266519546508789
2,1.0,0.10226583480834961,0.08899974822998047
0,0.0,0.08501505851745605,0.009902238845825195
0,0.0,0.09833097457885742,0.10265207290649414
0,0.0,0.09672188758850098,0.10045695304870605
1,0.5,0.09609603881835938,0.10327601432800293
