1st node, 2nd node, Step, timestamp
Node7,Node6,4,1589488700.354678
Node0,Node1,1,1589488703.6881979
Node0,Node1,2,1589488703.801632
Node1,Node0,3,1589488703.698655
Node1,Node0,4,1589488703.80221
Node1,Node2,1,1589488703.8189938
Node1,Node2,2,1589488703.941338
Node2,Node1,3,1589488703.898856
Node2,Node1,4,1589488703.941452
Node2,Node3,1,1589488703.950999
Node2,Node3,2,1589488704.072754
Node3,Node2,3,1589488703.9802399
Node3,Node2,4,1589488704.073183
Node3,Node4,1,1589488704.0828469
Node3,Node4,2,1589488704.206909
Node4,Node3,3,1589488704.185581
Node4,Node3,4,1589488704.20744
Node4,Node5,1,1589488704.220303
Node4,Node5,2,1589488704.238058
Node5,Node4,3,1589488704.22895
Node5,Node4,4,1589488704.238183
Node5,Node6,1,1589488704.248178
Node5,Node6,2,1589488704.371362
Node6,Node5,3,1589488704.3446589
Node6,Node5,4,1589488704.371562
Node6,Node7,1,1589488704.392769
Node6,Node7,2,1589488704.517258
Node7,Node6,3,1589488704.4221609
Node7,Node6,4,1589488704.517353
Node0,Node1,1,1589488707.074991
Node0,Node1,2,1589488707.188529
Node1,Node0,3,1589488707.1727831
Node1,Node0,4,1589488707.18866
Node1,Node2,1,1589488707.202919
Node1,Node2,2,1589488707.3262742
Node2,Node1,3,1589488707.2626
Node2,Node1,4,1589488707.326733
Node2,Node3,1,1589488707.3398058
Node2,Node3,2,1589488707.3575912
Node3,Node2,3,1589488707.349685
Node3,Node2,4,1589488707.357776
Node3,Node4,1,1589488707.370929
Node3,Node4,2,1589488707.493221
Node4,Node3,3,1589488707.4057338
Node4,Node3,4,1589488707.493401
Node4,Node5,1,1589488707.506997
Node4,Node5,2,1589488707.625172
Node5,Node4,3,1589488707.611426
Node5,Node4,4,1589488707.625325
Node5,Node6,1,1589488707.634871
Node5,Node6,2,1589488707.758569
Node6,Node5,3,1589488707.733181
Node6,Node5,4,1589488707.758762
Node6,Node7,1,1589488707.7715578
Node6,Node7,2,1589488707.8937159
Node7,Node6,3,1589488707.815886
Node7,Node6,4,1589488707.89421
Node0,Node1,1,1589488710.895597
Node0,Node1,2,1589488711.003124
Node1,Node0,3,1589488710.967117
Node1,Node0,4,1589488711.00352
Node1,Node2,1,1589488711.0198662
Node1,Node2,2,1589488711.142949
Node2,Node1,3,1589488711.087275
Node2,Node1,4,1589488711.143156
Node2,Node3,1,1589488711.152289
Node2,Node3,2,1589488711.2761421
Node3,Node2,3,1589488711.1956449
Node3,Node2,4,1589488711.2766669
Node3,Node4,1,1589488711.289524
Node3,Node4,2,1589488711.4124181
Node4,Node3,3,1589488711.3721972
Node4,Node3,4,1589488711.412786
Node4,Node5,1,1589488711.430028
Node4,Node5,2,1589488711.546846
Node5,Node4,3,1589488711.507357
Node5,Node4,4,1589488711.547138
Node5,Node6,1,1589488711.5554292
Node5,Node6,2,1589488711.573526
